rva	size	donor	donor_rva	symbol	unit	evidence
0x000171ad	0x432	buka21	0x0009b2bd	?Fireball@combatManager@@QAEXHH@Z	SOURCE/SPELLS	graph:2;base=0.573325;margin=0.154314;shape=0.268;size=0.794;calls=0.643;strings=fireball.icn;alternate=pol20:void combatManager::Fireball(int, int)@0x00023762
0x000175df	0x439	buka21	0x0009b805	?MeteorShower@combatManager@@QAEXH@Z	SOURCE/SPELLS	graph:3;base=0.570305;margin=0.151054;shape=0.232;size=0.755;calls=0.889;strings=meteor.icn;alternate=pol20:void combatManager::MeteorShower(int)@0x00023d85
0x00017a18	0x2f3	buka21	0x0009bb35	?ElementalStorm@combatManager@@QAEXXZ	SOURCE/SPELLS	graph:2;base=0.609860;margin=0.145005;shape=0.203;size=0.928;calls=0.824;strings=storm.icn;alternate=pol20:void combatManager::ElementalStorm(void)@0x0002414e
0x00017d0b	0x3e5	buka21	0x0009bdf2	?Armageddon@combatManager@@QAEXXZ	SOURCE/SPELLS	graph:4;base=0.422058;margin=0.013140;shape=0.223;size=0.375;calls=0.500;strings=kb.pal;alternate=pol20:void combatManager::Armageddon(void)@0x00024449
0x000180f0	0x152	pol20	0x000bdbf0	int army::FindPath(int, int, int, int, int)	SOURCE/PATH	graph:3;base=0.612504;margin=0.616710;shape=0.500;size=0.976;calls=1.000
0x00018242	0x9e	buka21	0x0007cf9d	?ValidPath@army@@QAEHHH@Z	SOURCE/PATH	graph:2;base=0.547636;margin=0.507012;shape=0.439;size=0.810;calls=1.000;alternate=pol20:int army::ValidPath(int, int)@0x000bdd3a
0x0001835b	0xbf	pol20	0x000bde41	int army::GetAttackMask(int, int, int)	SOURCE/PATH	graph:2;base=0.606849;margin=0.583514;shape=0.500;size=0.948;calls=1.000
0x00018643	0x295	pol20	0x000be217	int army::ValidAttack(int, int, int, int, int *)	SOURCE/PATH	graph:3;base=0.569417;margin=0.276322;shape=0.416;size=0.949;calls=1.000
0x00018aee	0x4c2	pol20	0x000be59d	int army::ValidRange(int)	SOURCE/PATH	graph:2;base=0.621660;margin=0.510382;shape=0.552;size=0.901;calls=1.000
0x00018fb0	0x58	buka21	0x0007d9b7	?OppositeDirection@@YIHH@Z	SOURCE/PATH	graph:2;base=0.351556;margin=0.353789;shape=0.125;size=0.602;calls=1.000;alternate=pol20:int OppositeDirection(int)@0x000be9e7
0x00019008	0x988	pol20	0x000bea3f	int army::GetBestDirection(int, int, int)	SOURCE/PATH	graph:2;base=0.494623;margin=0.654664;shape=0.279;size=0.944;calls=1.000
0x000199a5	0x79	buka21	0x000bf990	?LogTruncate@@YIXXZ	BASE/Misc	graph:2;base=0.606653;margin=0.398605;shape=0.316;size=0.834;calls=0.667;strings=KB.LOG
0x00019a1e	0xa6	buka21	0x000bfa30	?LogStr@@YIXPAD@Z	BASE/Misc	graph:1;base=0.724628;margin=0.262043;shape=0.429;size=0.928;calls=1.000;strings=KB.LOG;alternate=pol20:void LogStr(char *)@0x000c6120
0x00019ac4	0x86	pol20	0x000c61c0	void LogInt(char *, int, int, int, int, int, int, int)	BASE/Misc	graph:4;base=0.354228;margin=0.616422;shape=0.184;size=0.245;calls=0.455;strings=KB.LOG
0x00019f16	0x1ef	buka21	0x0007e376	?CheckDoMain@@YIXHH@Z	SOURCE/PHILAI	graph:5;base=0.463287;margin=0.627999;shape=0.348;size=0.713;calls=0.909;alternate=pol20:void CheckDoMain(int, int)@0x000379d0
0x0001a105	0x10	pol20	0x00037b50	void ShowStatus(void)	SOURCE/PHILAI	graph:1;base=1.000000;margin=0.200000;normalized-instructions
0x0001a1a1	0x5e	pol20	0x00037b60	void philAI::constructor(void)	SOURCE/PHILAI	graph:1;base=0.824195;margin=0.256505;shape=1.000;size=0.904;calls=1.000
0x0001a1ff	0xb0	buka21	0x0007e524	?DoAllHeroInteractions@philAI@@QAEXXZ	SOURCE/PHILAI	graph:2;base=0.414032;margin=0.418353;shape=0.188;size=0.773;calls=1.000;alternate=pol20:void philAI::DoAllHeroInteractions(void)@0x00037bb5
0x0001a2af	0x445	buka21	0x0007e8cf	?CheckBuyStuff@philAI@@QAEXXZ	SOURCE/PHILAI	graph:2;base=0.641449;margin=0.572995;shape=0.312;size=0.907;calls=0.824;strings=CheckBuy End  |CheckBuy Start;alternate=pol20:void philAI::CheckBuyStuff(void)@0x00037fdf
0x0001a6f4	0x1a9	buka21	0x0007ed84	?GoodAdjacent@philAI@@QAEHPAH@Z	SOURCE/PHILAI	graph:2;base=0.410367;margin=0.413392;shape=0.366;size=0.596;calls=0.600;alternate=pol20:int philAI::GoodAdjacent(int *)@0x0003849d
0x0001a89d	0x473	buka21	0x0007f04d	?CheckReload@philAI@@QAEXXZ	SOURCE/PHILAI	graph:2;base=0.433109;margin=0.377228;shape=0.310;size=0.859;calls=0.417;alternate=pol20:void philAI::CheckReload(void)@0x00038785
0x0001ad10	0x294	buka21	0x0007f41f	?CheckBerserk@philAI@@QAEXXZ	SOURCE/PHILAI	graph:2;base=0.559466;margin=0.357720;shape=0.362;size=0.984;calls=1.000;alternate=pol20:void philAI::CheckBerserk(void)@0x00038c3d
0x0001b144	0x8f0	buka21	0x0007fd23	?DoAI@philAI@@QAEXH@Z	SOURCE/PHILAI	graph:5;base=0.641984;margin=1.146879;shape=0.398;size=0.795;calls=0.741;strings====================================|DO AI|DO AI 1;alternate=pol20:void philAI::DoAI(int)@0x00039631
0x0001ba34	0x4b	pol20	0x0003a2de	void philAI::GetGameAIVars(void)	SOURCE/PHILAI	unique-instructions
0x0001ba7f	0x6a0	buka21	0x000808a1	?GetTurnAIVars@philAI@@QAEXH@Z	SOURCE/PHILAI	graph:3;base=0.345425;margin=0.144973;shape=0.282;size=0.515;calls=0.667;alternate=pol20:void philAI::GetTurnAIVars(int)@0x0003a329
0x0001c11f	0x600	buka21	0x00081580	?GetBestBHC@philAI@@QAEXHAAUBHC@@@Z	SOURCE/PHILAI	graph:2;base=0.679791;margin=0.499826;shape=0.401;size=0.937;calls=0.722;strings=BestBHC |Turns Owned;alternate=pol20:void philAI::GetBestBHC(int, struct BHC &)@0x0003b154
0x0001c71f	0x11c	pol20	0x0003b748	class hero * philAI::DetermineHeroToMove(int)	SOURCE/PHILAI	graph:2;base=0.636868;margin=0.448489;shape=0.528;size=0.996;calls=1.000
0x0001c83b	0x932	buka21	0x00081c03	?DetermineTargetPosition@philAI@@QAEHAAH0H0@Z	SOURCE/PHILAI	graph:2;base=0.393525;margin=0.196143;shape=0.308;size=0.686;calls=0.529;alternate=pol20:int philAI::DetermineTargetPosition(int &, int &, int, int &)@0x0003b865
0x0001d16d	0x64d	buka21	0x00082969	?ProbableOutcomeOfBattle@philAI@@QAEXPAVarmyGroup@@PAVhero@@010HHHAAMAAH3333@Z	SOURCE/PHILAI	graph:4;base=0.549946;margin=0.581641;shape=0.449;size=0.953;calls=0.724;alternate=pol20:void philAI::ProbableOutcomeOfBattle(class armyGroup *, class hero *, class armyGroup *, class hero *, class armyGroup *, int, int, int, float &, int &, int &, int &, int &, int &)@0x0003c6e2
0x0001d7ba	0x1e	pol20	0x0003ce73	float philAI::GetOddsOfWinning(int)	SOURCE/PHILAI	unique-normalized
0x0001dd73	0x185	buka21	0x0008372c	?GetBestBuilding@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z	SOURCE/PHILAI	graph:2;base=0.526596;margin=0.075083;shape=0.323;size=0.949;calls=1.000;alternate=pol20:void philAI::GetBestBuilding(class town *, struct BHC &, float &)@0x0003d6b7
0x0001def8	0x2f5	buka21	0x0008389d	?ValueOfBuyingCreature@philAI@@QAEXPAVtown@@HAAHHAAM@Z	SOURCE/PHILAI	graph:3;base=0.431663;margin=0.517459;shape=0.208;size=0.811;calls=0.923;alternate=pol20:void philAI::ValueOfBuyingCreature(class town *, int, int &, int, float &)@0x0003d852
0x0001e1ed	0x211	buka21	0x00083b03	?GetBestCreature@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z	SOURCE/PHILAI	graph:2;base=0.467416;margin=0.566378;shape=0.359;size=0.696;calls=1.000;alternate=pol20:void philAI::GetBestCreature(class town *, struct BHC &, float &)@0x0003db58
0x0001e3fe	0x48	pol20	0x0003deb3	int philAI::CreaturesToBuy(class town *, int)	SOURCE/PHILAI	unique-instructions
0x0001e446	0x5f	pol20	0x0003defb	int philAI::CreaturesToBuy(int, int)	SOURCE/PHILAI	unique-normalized
0x0001e4a5	0x9b	buka21	0x00083e81	?MaxBuyableCreatures@philAI@@QAEHH@Z	SOURCE/PHILAI	graph:2;base=0.533802;margin=0.565073;shape=0.392;size=0.839;calls=1.000;alternate=pol20:int philAI::MaxBuyableCreatures(int)@0x0003df5a
0x0001e540	0x1bc	buka21	0x00083f03	?ValueOfBuyingHero@philAI@@QAEXPAVtown@@PAVhero@@AAHAAM@Z	SOURCE/PHILAI	graph:3;base=0.452634;margin=0.608146;shape=0.221;size=0.851;calls=1.000;alternate=pol20:void philAI::ValueOfBuyingHero(class town *, class hero *, int &, float &)@0x0003dff6
0x0001e6fc	0x1a0	buka21	0x0008410d	?GetBestHero@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z	SOURCE/PHILAI	graph:2;base=0.649528;margin=0.194728;shape=0.311;size=0.925;calls=0.800;strings=Town:%2d  Hero    : % 15i   Raw BC = %8.2f,  RandBC = %8.2f.;alternate=pol20:void philAI::GetBestHero(class town *, struct BHC &, float &)@0x0003e2a8
0x0001e89c	0x65	buka21	0x0008428e	?LikelihoodOfEnemyAttacking@philAI@@QAEXPAVtown@@PAVhero@@AAM2AAH332@Z	SOURCE/PHILAI	graph:2;base=0.488198;margin=0.360468;shape=0.323;size=0.832;calls=1.000;alternate=pol20:void philAI::LikelihoodOfEnemyAttacking(class town *, class hero *, float &, float &, int &, int &, int &, float &)@0x0003e459
0x0001e901	0x1a	pol20	0x0003e4be	int philAI::MeanRVOfUnexploredTerritory(int)	SOURCE/PHILAI	graph:1;base=1.000000;margin=0.200000;normalized-instructions
0x0001e91b	0x1d3	pol20	0x0003e4d8	void philAI::GetGameAttentionValue(int)	SOURCE/PHILAI	graph:2;base=0.706312;margin=0.744358;shape=0.685;size=0.989;calls=1.000
0x0001eaee	0xed	pol20	0x0003e6b0	void philAI::GetTurnAttentionValue(int)	SOURCE/PHILAI	graph:1;base=0.724050;margin=0.464903;shape=0.737;size=0.979;calls=1.000
0x0001ebdb	0xa6	buka21	0x00084504	?RVConversion@philAI@@QAEHQAH@Z	SOURCE/PHILAI	graph:2;base=0.411394;margin=0.429857;shape=0.250;size=0.681;calls=1.000;alternate=pol20:int philAI::RVConversion(int * const)@0x0003e7a2
0x0001ec81	0xca	pol20	0x0003e848	float philAI::TurnsToBuy(int * const)	SOURCE/PHILAI	unique-instructions
0x0001ed4b	0x55e	buka21	0x00084642	?RVOfPosition@philAI@@QAEHHHHHHHHHHH@Z	SOURCE/PHILAI	graph:3;base=0.513260;margin=0.500427;shape=0.306;size=0.971;calls=0.812;alternate=pol20:int philAI::RVOfPosition(int, int, int, int, int, int, int, int, int, int)@0x0003e918
0x0001f2c3	0x8bd	buka21	0x00084b78	?StrategicValueOfPosition@philAI@@QAEHHHHHPAHH@Z	SOURCE/PHILAI	graph:2;base=0.499321;margin=0.324582;shape=0.341;size=0.829;calls=0.957;alternate=pol20:int philAI::StrategicValueOfPosition(int, int, int, int, int *, int)@0x0003ef45
0x0001fc31	0x176	pol20	0x0003fb8c	void philAI::TurnCostResource(int)	SOURCE/PHILAI	graph:1;base=0.767693;margin=0.291665;shape=0.837;size=0.974;calls=1.000
0x0001fda7	0x134	buka21	0x0008584e	?TurnValueOfObelisk@philAI@@QAEMH@Z	SOURCE/PHILAI	graph:2;base=0.491757;margin=0.401590;shape=0.220;size=0.997;calls=1.000
0x0001fedb	0x51	buka21	0x00085981	?FutureDeflator@philAI@@QAEMQAH@Z	SOURCE/PHILAI	graph:2;base=0.484127;margin=0.409347;shape=0.286;size=0.877;calls=1.000;alternate=pol20:float philAI::FutureDeflator(int * const)@0x0003fe81
0x0001ff2c	0x764	buka21	0x000859c8	?FightValueOfStack@philAI@@QAEHPAVarmyGroup@@PAVhero@@HHHH@Z	SOURCE/PHILAI	graph:4;base=0.393076;margin=0.447055;shape=0.297;size=0.768;calls=0.382;alternate=pol20:int philAI::FightValueOfStack(class armyGroup *, class hero *, int, int, int, int)@0x0003fed2
0x00020690	0x1da	buka21	0x00086369	?EvaluateOneTimeCreaturePurchase@philAI@@QAEXHHHAAH00@Z	SOURCE/PHILAI	graph:3;base=0.513526;margin=0.703256;shape=0.342;size=0.854;calls=1.000;alternate=pol20:void philAI::EvaluateOneTimeCreaturePurchase(int, int, int, int &, int &, int &)@0x00040aca
0x0002086a	0x3a7	buka21	0x000864fe	?QuickCombat@philAI@@QAEHPAVarmyGroup@@PAVhero@@01HHAAM2@Z	SOURCE/PHILAI	graph:5;base=0.373791;margin=0.600389;shape=0.327;size=0.583;calls=0.548;alternate=pol20:int philAI::QuickCombat(class armyGroup *, class hero *, class armyGroup *, class hero *, int, int, float &, float &)@0x00040cb1
0x00020c11	0xbae	buka21	0x00086ed0	?HeroInteractionAtTown@philAI@@QAEXPAVhero@@PAVtown@@HPAH@Z	SOURCE/PHILAI	graph:3;base=0.484024;margin=0.235954;shape=0.394;size=0.661;calls=0.952;alternate=pol20:void philAI::HeroInteractionAtTown(class hero *, class town *, int, int *)@0x0004183b
0x00021820	0xc7	buka21	0x00087a7b	?ChooseEvaluateBattle@philAI@@QAEXPAVarmyGroup@@PAVhero@@01HHHAAH2@Z	SOURCE/PHILAI	graph:3;base=0.572029;margin=0.742196;shape=0.490;size=0.824;calls=1.000;alternate=pol20:void philAI::ChooseEvaluateBattle(class armyGroup *, class hero *, class armyGroup *, class hero *, int, int, int, int &, int &)@0x000425b0
0x00021950	0x1d	pol20	0x000427c4	int philAI::ChooseToPayRansomOnHero(int)	SOURCE/PHILAI	graph:1;base=0.970000;margin=0.200000;instruction-sequence
0x0002196d	0x194	buka21	0x000a43f9	?BuildBuilding@town@@QAEXH@Z	SOURCE/TOWN	graph:2;base=0.356811;margin=0.440169;shape=0.204;size=0.687;calls=0.625;alternate=pol20:void philAI::BuildBuilding(class town *, int)@0x000427e1
0x00021b01	0x25c	pol20	0x000428b8	void philAI::BuildHero(class town *, int)	SOURCE/PHILAI	graph:2;base=0.447567;margin=0.248604;shape=0.351;size=0.748;calls=0.667
0x00021d5d	0x100	pol20	0x00042be0	void philAI::BuildCreature(class town *, int, int)	SOURCE/PHILAI	graph:3;base=0.354722;margin=0.104251;shape=0.383;size=0.357;calls=0.667
0x00021e5d	0x188	buka21	0x00088284	?CanBuyBHC@philAI@@QAEHAAUBHC@@@Z	SOURCE/PHILAI	graph:3;base=0.453882;margin=0.780446;shape=0.369;size=0.712;calls=0.667;alternate=pol20:int philAI::CanBuyBHC(struct BHC &)@0x00042ead
0x00021fe5	0x177	buka21	0x0008839b	?CombatMonsterEvent@philAI@@QAEHPAVhero@@HPAHPAVmapCell@@@Z	SOURCE/PHILAI	graph:2;base=0.554517;margin=0.429398;shape=0.381;size=0.912;calls=1.000;alternate=pol20:int philAI::CombatMonsterEvent(class hero *, int, int *, class mapCell *)@0x00043007
0x0002215c	0x26a	buka21	0x000884f1	?FightEvent@philAI@@QAEHPAVhero@@PAVmapCell@@H@Z	SOURCE/PHILAI	graph:5;base=0.277616;margin=0.834782;shape=0.262;size=0.393;calls=0.393;alternate=pol20:int philAI::FightEvent(class hero *, class mapCell *, int)@0x0004316b
0x000223c6	0x73	buka21	0x00088b14	?DamageGroup@philAI@@QAEHPAVarmyGroup@@PAVhero@@1M@Z	SOURCE/PHILAI	graph:2;base=0.548912;margin=0.547381;shape=0.486;size=0.739;calls=1.000;alternate=pol20:int philAI::DamageGroup(class armyGroup *, class hero *, class hero *, float)@0x00043842
0x0002249f	0xcb	pol20	0x000438b5	void philAI::IncrementHourGlass(void)	SOURCE/PHILAI	unique-instructions
0x0002256a	0x221	buka21	0x00088c35	?TownEvent@philAI@@QAEXPAVmapCell@@PAVhero@@HH@Z	SOURCE/PHILAI	graph:3;base=0.582749;margin=0.601748;shape=0.455;size=0.921;calls=1.000;alternate=pol20:void philAI::TownEvent(class mapCell *, class hero *, int, int)@0x00043980
0x0002278b	0x2085	buka21	0x0008911d	?ValueOfEventAtPosition@philAI@@QAEHHHHPAH@Z	SOURCE/PHILAI	graph:4;base=0.465517;margin=0.659381;shape=0.256;size=0.790;calls=0.952;alternate=pol20:int philAI::ValueOfEventAtPosition(int, int, int, int *)@0x00043fc4
0x00024810	0x10	pol20	0x000a4a50	void searchArray::constructor(void)	SOURCE/FINDPATH	graph:2;base=0.450000;margin=0.300000;shape=0.200;size=1.000;calls=1.000
0x00024950	0x300	pol20	0x000a53f0	int searchArray::FindCombatPath(int, int, class army *, int, int)	SOURCE/FINDPATH	graph:3;base=0.450697;margin=0.615808;shape=0.275;size=0.738;calls=1.000
0x00024c50	0x140	pol20	0x000a5800	void searchArray::PushCombatPoint(int, int, int, int)	SOURCE/FINDPATH	graph:2;base=0.509323;margin=0.588394;shape=0.351;size=0.800;calls=1.000
0x000252c0	0x2cc	buka21	0x00001000	??0advManager@@QAE@XZ	SOURCE/ADVMGR	graph:2;base=0.538995;margin=0.239070;shape=0.344;size=0.950;calls=1.000;alternate=pol20:void advManager::constructor(void)@0x00056350
0x000255ab	0xea6	buka21	0x000012f2	?Open@advManager@@UAEHH@Z	SOURCE/ADVMGR	graph:5;base=0.608500;margin=0.280356;shape=0.449;size=0.637;calls=0.611;strings=advManager|adv_wind.bin|advmice.mse;alternate=pol20:int advManager::Open(int);   // virtual [override (implements baseManager pure virtual)]@0x0005665f
0x00026451	0x3bd	buka21	0x00001c47	?Close@advManager@@UAEXXZ	SOURCE/ADVMGR	graph:3;base=0.555933;margin=0.510723;shape=0.387;size=0.995;calls=0.909;alternate=pol20:void advManager::Close(void);   // virtual [override (implements baseManager pure virtual)]@0x00057028
0x0002680e	0xc7	buka21	0x00001fff	?GetCursorSampleSet@advManager@@QAEXH@Z	SOURCE/ADVMGR	graph:2;base=0.701218;margin=0.695021;shape=0.378;size=0.921;calls=1.000;strings=wsnd%1d%1d.82M;alternate=pol20:void advManager::GetCursorSampleSet(int)@0x00057432
0x000268d5	0x619	buka21	0x000020d7	?DoAdvCommand@advManager@@QAEPAVmapCell@@XZ	SOURCE/ADVMGR	graph:7;base=0.528946;margin=1.360342;shape=0.339;size=0.921;calls=0.947;alternate=pol20:class mapCell * advManager::DoAdvCommand(void)@0x0005751b
0x00026eee	0xe10	buka21	0x000027cf	?Main@advManager@@UAEHAAUtag_message@@@Z	SOURCE/ADVMGR	graph:3;base=0.507706;margin=0.523825;shape=0.297;size=0.996;calls=0.852;alternate=pol20:int advManager::Main(struct tag_message &);   // virtual [override (implements baseManager pure virtual)]@0x00057d6c
0x00027cfe	0x22	pol20	0x00058d46	void advManager::Reseed(int, int)	SOURCE/ADVMGR	unique-normalized
0x00027d20	0xe39	buka21	0x000035e9	?ProcessSelect@advManager@@QAEHPAUtag_message@@PAPAVmapCell@@@Z	SOURCE/ADVMGR	graph:2;base=0.526004;margin=0.306176;shape=0.329;size=0.923;calls=0.956;alternate=pol20:int advManager::ProcessSelect(struct tag_message *, class mapCell * *)@0x00058d68
0x00028b59	0x1ea	buka21	0x00004308	?ProcessDeSelect@advManager@@QAEHPAUtag_message@@PAHPAPAVmapCell@@@Z	SOURCE/ADVMGR	graph:4;base=0.346709;margin=0.551065;shape=0.313;size=0.541;calls=0.500;alternate=pol20:int advManager::ProcessDeSelect(struct tag_message *, int *, class mapCell * *)@0x00059c19
0x00028d43	0x49b	buka21	0x00004692	?ProcessSearch@advManager@@QAEHHH@Z	SOURCE/ADVMGR	graph:2;base=0.676641;margin=0.529889;shape=0.365;size=0.904;calls=0.935;strings=%s%s|DIGSOUND.82M;alternate=pol20:int advManager::ProcessSearch(int, int)@0x0005a07c
0x000291de	0xc02	buka21	0x00004baa	?ProcessHover@advManager@@QAEHHH@Z	SOURCE/ADVMGR	graph:2;base=0.464646;margin=0.430920;shape=0.299;size=0.767;calls=0.971;alternate=pol20:int advManager::ProcessHover(int, int)@0x0005a644
0x00029de0	0x265	buka21	0x000054df	?UpdateScreen@advManager@@QAEXHH@Z	SOURCE/ADVMGR	graph:2;base=0.492392;margin=0.157827;shape=0.294;size=0.928;calls=0.818;alternate=pol20:void advManager::UpdateScreen(int, int)@0x0005b094
0x0002a045	0x359	buka21	0x00005718	?CompleteDraw@advManager@@QAEXHHHH@Z	SOURCE/ADVMGR	graph:8;base=0.459172;margin=1.327145;shape=0.409;size=0.723;calls=0.706;alternate=pol20:void advManager::CompleteDraw(int, int, int, int)@0x0005b2ae
0x0002a39e	0x3a	pol20	0x0005b799	void advManager::CompleteDraw(int)	SOURCE/ADVMGR	graph:3;base=0.816875;margin=0.629079;shape=0.938;size=1.000;calls=1.000
0x0002a3d8	0x40d	pol20	0x0005b7d3	int advManager::GetCloudLookup(int, int)	SOURCE/ADVMGR	graph:2;base=0.570070;margin=0.691363;shape=0.440;size=0.904;calls=1.000
0x0002a7e5	0xee8	buka21	0x00005fc9	?DrawCell@advManager@@QAEXHHHHHH@Z	SOURCE/ADVMGR	graph:3;base=0.286321;margin=0.495913;shape=0.238;size=0.410;calls=0.525;alternate=pol20:void advManager::DrawCell(int, int, int, int, int, int)@0x0005bb7c
0x0002b74a	0x57e	buka21	0x000084ac	?UpdateRadar@advManager@@QAEXHH@Z	SOURCE/ADVMGR	graph:6;base=0.227177;margin=0.921091;shape=0.195;size=0.373;calls=0.222;alternate=pol20:void advManager::UpdateRadar(int, int)@0x0005e0da
0x0002bcc8	0x596	buka21	0x00009363	?QuickInfo@advManager@@QAEXHH@Z	SOURCE/ADVMGR	graph:4;base=0.437984;margin=0.160503;shape=0.304;size=0.325;calls=0.543;strings=qwikinfo.bin;alternate=pol20:void advManager::QuickInfo(int, int)@0x0005f127
0x0002c25e	0x3c8	buka21	0x0000a491	?UpdateHeroLocator@advManager@@QAEXHHH@Z	SOURCE/ADVMGR	graph:2;base=0.539169;margin=0.099782;shape=0.447;size=0.791;calls=0.917;alternate=pol20:void advManager::UpdateHeroLocator(int, int, int)@0x00060465
0x0002c626	0x108	buka21	0x0000a78f	?UpdateHeroLocators@advManager@@QAEXHH@Z	SOURCE/ADVMGR	graph:2;base=0.520706;margin=0.246406;shape=0.456;size=0.777;calls=0.750;alternate=pol20:void advManager::UpdateHeroLocators(int, int)@0x000607ad
0x0002c72e	0x27f	buka21	0x0000a85c	?UpdateTownLocators@advManager@@QAEXHH@Z	SOURCE/ADVMGR	graph:3;base=0.535916;margin=0.510257;shape=0.379;size=0.971;calls=0.800;alternate=pol20:void advManager::UpdateTownLocators(int, int)@0x000608af
0x0002c9ad	0x19f	buka21	0x0000aaee	?UpdBottomView@advManager@@QAEXHHH@Z	SOURCE/ADVMGR	graph:3;base=0.587774;margin=0.642167;shape=0.494;size=0.843;calls=1.000;alternate=pol20:void advManager::UpdBottomView(int, int, int)@0x00060b97
0x0002cb4c	0x132	buka21	0x0000ac4c	?ClearBottomView@advManager@@QAEXXZ	SOURCE/ADVMGR	graph:5;base=0.613154;margin=1.071587;shape=0.489;size=0.961;calls=1.000;alternate=pol20:void advManager::ClearBottomView(void)@0x00060d63
0x0002cc7e	0x5bf	buka21	0x0000ad72	?UpdBottomViewEnemyTurn@advManager@@QAEHXZ	SOURCE/ADVMGR	graph:1;base=0.738388;margin=0.356312;shape=0.508;size=0.910;calls=0.857;strings=brcrest.icn|hourglas.icn|stonback.icn;alternate=pol20:int advManager::UpdBottomViewEnemyTurn(void)@0x00060e95
0x0002d23d	0x3e0	buka21	0x0000b2ad	?UpdBottomViewNewTurn@advManager@@QAEHXZ	SOURCE/ADVMGR	graph:2;base=0.861364;margin=0.145966;shape=0.778;size=0.910;calls=0.840;strings=%s: %d|%s: %d  %s: %d|bigfont.fnt;alternate=pol20:int advManager::UpdBottomViewNewTurn(void)@0x000613b0
0x0002d61d	0x3fa	buka21	0x0000b634	?UpdBottomViewResMsg@advManager@@QAEHXZ	SOURCE/ADVMGR	graph:3;base=0.790087;margin=0.239399;shape=0.649;size=0.884;calls=0.793;strings=resource.icn|smalfont.fnt|stonback.icn;alternate=pol20:int advManager::UpdBottomViewResMsg(void)@0x00061716
0x0002da17	0x3ce	buka21	0x0000b9b8	?UpdBottomViewKingdom@advManager@@QAEHXZ	SOURCE/ADVMGR	graph:2;base=0.769757;margin=0.069402;shape=0.564;size=0.915;calls=0.850;strings=ressmall.icn|smalfont.fnt|stonback.icn;alternate=pol20:int advManager::UpdBottomViewKingdom(void)@0x00061a75
0x0002dde5	0x62c	buka21	0x0000bd33	?UpdBottomViewHero@advManager@@QAEHXZ	SOURCE/ADVMGR	graph:3;base=0.635193;margin=0.117414;shape=0.302;size=0.961;calls=0.625;strings=mons32.icn|smalfont.fnt|stonback.icn;alternate=pol20:int advManager::UpdBottomViewHero(void)@0x00061dd8
0x0002e411	0xd46	buka21	0x0000c322	?HeroQuickView@advManager@@QAEXHHHH@Z	SOURCE/ADVMGR	graph:13;base=0.654225;margin=1.910013;shape=0.309;size=0.949;calls=0.880;strings=mons32.icn|qhero0.bin|qhero1.bin;alternate=pol20:void advManager::HeroQuickView(int, int, int, int)@0x0006235b
0x0002f157	0xe2	buka21	0x0000d11d	?GetArmySizeName@advManager@@QAEPADHH@Z	SOURCE/ADVMGR	graph:2;base=0.463915;margin=0.489878;shape=0.171;size=0.973;calls=1.000;alternate=pol20:char * advManager::GetArmySizeName(int, int)@0x0006308d
0x0002f239	0xc51	buka21	0x0000d1f9	?TownQuickView@advManager@@QAEXHHHH@Z	SOURCE/ADVMGR	graph:6;base=0.675336;margin=0.051432;shape=0.330;size=0.961;calls=0.941;strings=mons32.icn|qtown1.bin|smalfont.fnt;alternate=pol20:void advManager::TownQuickView(int, int, int, int)@0x000631ad
0x0002fe8a	0xe8	buka21	0x0000deca	?RedrawAdvScreen@advManager@@QAEXHH@Z	SOURCE/ADVMGR	graph:3;base=0.562981;margin=0.429826;shape=0.444;size=0.906;calls=0.909;alternate=pol20:void advManager::RedrawAdvScreen(int, int)@0x00063dd6
0x0002ff72	0x1f	pol20	0x00063ef5	void advManager::DeactivateCurrTown(void)	SOURCE/ADVMGR	graph:2;base=0.970000;margin=0.400000;instruction-sequence
0x0002ff91	0x27	pol20	0x00063f14	void advManager::DeactivateCurrHero(void)	SOURCE/ADVMGR	unique-instructions
0x0002ffb8	0x59	buka21	0x0000dffa	?MobilizeCurrHero@advManager@@QAEXH@Z	SOURCE/ADVMGR	graph:3;base=0.511468;margin=0.529744;shape=0.406;size=0.742;calls=1.000;alternate=pol20:void advManager::MobilizeCurrHero(int)@0x00063f3b
0x00030011	0x199	buka21	0x0000e03c	?DemobilizeCurrHero@advManager@@QAEXXZ	SOURCE/ADVMGR	graph:5;base=0.450729;margin=0.647673;shape=0.295;size=0.807;calls=0.800;alternate=pol20:void advManager::DemobilizeCurrHero(void)@0x00063f95
0x000301aa	0x255	buka21	0x0000e186	?SetTownContext@advManager@@QAEXH@Z	SOURCE/ADVMGR	graph:5;base=0.489027;margin=0.082311;shape=0.312;size=0.827;calls=0.923;alternate=pol20:void advManager::SetTownContext(int)@0x00064101
0x000303ff	0x3e6	buka21	0x0000e374	?SetHeroContext@advManager@@QAEXHH@Z	SOURCE/ADVMGR	graph:5;base=0.499995;margin=0.151356;shape=0.325;size=0.844;calls=0.947;alternate=pol20:void advManager::SetHeroContext(int, int)@0x00064318
